SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-9-2022,Condo/Co-op,180 COMMONWEALTH Ave #7,Boston,MA,02116,1150000,3,2.0,Back Bay,1070,1070,1925,38,1075,640,Sold,,,https://www.redfin.com/MA/Boston/180-Commonwealth-Ave-02116/unit-7/home/9265011,MLS PIN,72874825,N,Y,42.3510958,-71.0795365
PAST SALE,March-15-2022,Condo/Co-op,3 Englewood Ave #15,Brookline,MA,02445,495000,1,1.0,Brookline,572,,1905,4,865,238,Sold,,,https://www.redfin.com/MA/Brookline/3-Englewood-Ave-02445/unit-15/home/11456484,MLS PIN,72938942,N,Y,42.3375219,-71.1451084
PAST SALE,January-4-2022,Townhouse,132 Newton St #132,Boston,MA,02135,1050000,3,2.5,Boston,2194,,2018,74,479,246,Sold,,,https://www.redfin.com/MA/Boston/132-Newton-St-02135/unit-132/home/147581941,MLS PIN,72899347,N,Y,42.3558343,-71.1683736
PAST SALE,March-2-2022,Single Family Residential,125 Woodrow Ave,Boston,MA,02124,460000,3,2.0,Boston,1170,4059,1991,17,393,,Sold,,,https://www.redfin.com/MA/Boston/125-Woodrow-Ave-02124/home/9063414,MLS PIN,72924633,N,Y,42.2873179,-71.0838968
PAST SALE,January-14-2022,Single Family Residential,159 Lexington St,Boston,MA,02128,725000,3,1.5,Boston,2411,3750,1905,64,301,,Sold,,,https://www.redfin.com/MA/Boston/159-Lexington-St-02128/home/9119829,MLS PIN,72905432,N,Y,42.378872,-71.0339211
PAST SALE,March-10-2022,Condo/Co-op,43 Barry St #3,Boston,MA,02125,435000,3,1.0,Boston,933,933,1989,9,466,250,Sold,,,https://www.redfin.com/MA/Boston/43-Barry-St-02125/unit-3/home/9063749,MLS PIN,72924135,N,Y,42.3087753,-71.0686496
PAST SALE,March-18-2022,Condo/Co-op,27 Hosmer St #1,Boston,MA,02126,325000,2,1.0,Boston,896,,1905,1,363,250,Sold,,,https://www.redfin.com/MA/Boston/27-Hosmer-St-02126/unit-1/home/12428449,MLS PIN,72937374,N,Y,42.2807266,-71.0907034
PAST SALE,March-17-2022,Single Family Residential,181 Sycamore St,Boston,MA,02131,740000,3,1.0,Boston,1409,3600,1900,2,525,,Sold,,,https://www.redfin.com/MA/Roslindale/181-Sycamore-St-02131/home/11836212,MLS PIN,72943786,N,Y,42.2865813,-71.1224544
PAST SALE,,Condo/Co-op,56 Percival St #1,Dorchester,MA,02122,430000,2,1.0,,1008,,1905,,427,,,,,https://www.redfin.com/MA/Dorchester/56-Percival-St-02122/unit-1/home/9063723,,,N,Y,42.30573,-71.0632177
PAST SALE,December-20-2021,Single Family Residential,508 Metropolitan Ave,Boston,MA,02136,605000,4,1.5,Boston,1730,8960,1930,89,350,,Sold,,,https://www.redfin.com/MA/Hyde-Park/508-Metropolitan-Ave-02136/home/9123750,MLS PIN,72902434,N,Y,42.2688821,-71.1193906
